date,cases,deaths
2020-01-21,1,0
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,1,0
2020-01-25,1,0
2020-01-26,2,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,1,0
2020-01-31,1,0
2020-02-01,1,0
2020-02-02,3,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,1,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,1,0
2020-02-11,0,0
2020-02-12,1,0
2020-02-13,1,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,10,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,2,0
2020-02-21,3,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,13,0
2020-02-25,2,0
2020-02-26,15,0
2020-02-27,0,0
2020-02-28,5,0
2020-02-29,5,1
2020-03-01,18,2
2020-03-02,16,3
2020-03-03,21,4
2020-03-04,36,2
2020-03-05,67,0
2020-03-06,83,3
2020-03-07,117,4
2020-03-08,119,3
2020-03-09,201,4
2020-03-10,270,5
2020-03-11,245,6
2020-03-12,405,6
2020-03-13,556,7
2020-03-14,674,10
2020-03-15,702,8
2020-03-16,907,23
2020-03-17,1399,26
2020-03-18,2444,45
2020-03-19,4043,50
2020-03-20,5619,65
2020-03-21,6516,83
2020-03-22,8545,98
2020-03-23,10432,121
2020-03-24,10433,206
2020-03-25,14634,269
2020-03-26,16998,299
2020-03-27,17330,417
2020-03-28,21066,530
2020-03-29,18520,418
2020-03-30,21469,650
2020-03-31,24506,936
2020-04-01,26930,1021
2020-04-02,29717,1216
2020-04-03,32318,1391
2020-04-04,35099,1556
2020-04-05,25616,1368
2020-04-06,30916,1526
2020-04-07,30337,2234
2020-04-08,31820,2085
2020-04-09,34699,2120
2020-04-10,33473,2263
2020-04-11,31720,2084
2020-04-12,27143,1681
2020-04-13,25769,1764
2020-04-14,26691,2705
2020-04-15,30033,2752
2020-04-16,31613,2349
2020-04-17,31509,2289
2020-04-18,28398,1951
2020-04-19,25334,1520
2020-04-20,27330,1837
2020-04-21,25508,2672
2020-04-22,28832,2371
2020-04-23,33773,2169
2020-04-24,36739,2132
2020-04-25,34408,1967
2020-04-26,26735,1253
2020-04-27,23189,1442
2020-04-28,24634,2394
2020-04-29,26554,2514
2020-04-30,30339,2210
2020-05-01,33964,1762
2020-05-02,29474,1583
2020-05-03,26140,1331
2020-05-04,21961,1089
2020-05-05,23705,2234
2020-05-06,24485,2708
2020-05-07,28475,1958
2020-05-08,27642,1575
2020-05-09,24868,1454
2020-05-10,20317,932
2020-05-11,17618,982
2020-05-12,22299,1652
2020-05-13,21141,1768
2020-05-14,26961,1738
2020-05-15,26223,1593
2020-05-16,23659,1225
2020-05-17,19014,844
2020-05-18,21820,846
2020-05-19,20968,1520
2020-05-20,23064,1477
2020-05-21,25733,1311
2020-05-22,23793,1288
2020-05-23,22268,1050
2020-05-24,20031,620
2020-05-25,19100,510
2020-05-26,18889,747
2020-05-27,18741,1485
2020-05-28,22468,1200
2020-05-29,24547,1190
2020-05-30,23397,963
2020-05-31,20634,604
2020-06-01,21894,734
2020-06-02,20786,1082
2020-06-03,19979,989
2020-06-04,21614,1008
2020-06-05,28697,1112
2020-06-06,22516,728
2020-06-07,18616,390
2020-06-08,18201,722
2020-06-09,18804,1030
2020-06-10,23155,929
2020-06-11,23202,877
2020-06-12,25493,779
2020-06-13,25334,692
2020-06-14,19130,317
2020-06-15,20117,448
2020-06-16,24885,769
2020-06-17,25655,761
2020-06-18,28059,727
2020-06-19,30836,698
2020-06-20,32025,546
2020-06-21,26379,257
2020-06-22,30466,360
2020-06-23,35058,833
2020-06-24,36989,767
2020-06-25,41173,2466
2020-06-26,45526,633
2020-06-27,42304,511
2020-06-28,39078,270
2020-06-29,39917,348
2020-06-30,48395,1300
2020-07-01,49977,642
2020-07-02,55555,723
2020-07-03,56523,590
2020-07-04,50640,262
2020-07-05,44766,262
2020-07-06,47315,391
2020-07-07,54157,958
2020-07-08,59459,948
2020-07-09,59899,841
2020-07-10,68227,828
2020-07-11,60728,675
2020-07-12,57807,395
2020-07-13,61571,425
2020-07-14,65601,954
2020-07-15,68348,971
2020-07-16,75697,958
2020-07-17,70923,901
2020-07-18,62454,775
2020-07-19,62275,412
2020-07-20,59883,531
2020-07-21,65274,1127
2020-07-22,69730,1136
2020-07-23,69998,1116
2020-07-24,73525,1147
2020-07-25,66771,884
2020-07-26,54212,440
2020-07-27,59179,1696
2020-07-28,63109,1324
